time,reader,port,beam,epc,crc,rssi,session,target,power,field,zone,
8/11/15 10:21:25.431,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,46,S0,A,270,3,1,
8/11/15 10:21:25.469,192.168.225.67,1,3,3034031AEC32552D07A604F1,51F0,47,S0,A,270,3,1,
8/11/15 10:21:25.479,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,46,S0,A,270,3,1,
8/11/15 10:36:27.225,192.168.225.66,2,0,E280681000000039129592FA,B112,43,S0,A,270,3,1,
8/11/15 10:21:25.580,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,46,S0,A,270,3,1,
8/11/15 10:21:25.581,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,46,S0,A,270,3,1,
8/11/15 10:21:25.599,192.168.225.67,2,3,E280116060000205288FAAF6,EC2B,43,S0,A,270,3,1,
8/11/15 10:21:25.620,192.168.225.67,1,3,30342FFBC80EA62D07A454C3,7546,45,S0,A,270,3,1,
8/11/15 10:21:25.629,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,46,S0,A,270,3,1,
8/11/15 10:21:26.020,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,45,S0,A,270,3,1,
8/11/15 10:21:26.030,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,47,S0,A,270,3,1,
8/11/15 10:21:26.049,192.168.225.67,1,3,30342FFBC80EA62D07A454C3,7546,45,S0,A,270,3,1,
8/11/15 10:21:26.060,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,43,S0,A,270,3,1,
8/11/15 10:36:27.794,192.168.225.66,2,0,E280681000000039129592FA,B112,44,S0,A,270,3,1,
8/11/15 10:21:26.180,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,48,S0,A,270,3,1,
8/11/15 10:21:26.210,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,43,S0,A,270,3,1,
8/11/15 10:21:26.219,192.168.225.67,1,3,30342FFBC80EA62D07A454C3,7546,43,S0,A,270,3,1,
8/11/15 10:21:26.220,192.168.225.67,1,3,3034031AEC32552D07A604F1,51F0,43,S0,A,270,3,1,
8/11/15 10:21:26.610,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,48,S0,A,270,3,1,
8/11/15 10:21:26.659,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,43,S0,A,270,3,1,
8/11/15 10:21:26.660,192.168.225.67,1,3,3034031AEC32552D07A604F1,51F0,43,S0,A,270,3,1,
8/11/15 10:21:26.759,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,48,S0,A,270,3,1,
8/11/15 10:21:26.760,192.168.225.67,2,3,E280116060000205288FAAF6,EC2B,43,S0,A,270,3,1,
